NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
256,4096,,,0.76,0.24
256,8192,2,sqrt,0.646666667,0.353333333
256,8192,2,log2,0.653333333,0.346666667
256,8192,2,,0.58,0.42
256,8192,4,sqrt,0.76,0.24
256,8192,4,log2,0.76,0.24
256,8192,4,,0.753333333,0.246666667
256,8192,8,sqrt,0.78,0.22
256,8192,8,log2,0.786666667,0.213333333
256,8192,8,,0.766666667,0.233333333
256,8192,16,sqrt,0.773333333,0.226666667
256,8192,16,log2,0.78,0.22
256,8192,16,,0.766666667,0.233333333
256,8192,32,sqrt,0.773333333,0.226666667
256,8192,32,log2,0.78,0.22
256,8192,32,,0.766666667,0.233333333
256,8192,64,sqrt,0.773333333,0.226666667
256,8192,64,log2,0.78,0.22
256,8192,64,,0.766666667,0.233333333
256,8192,,sqrt,0.773333333,0.226666667
256,8192,,log2,0.78,0.22
256,8192,,,0.766666667,0.233333333
256,16384,2,sqrt,0.66,0.34
256,16384,2,log2,0.66,0.34
256,16384,2,,0.58,0.42
256,16384,4,sqrt,0.766666667,0.233333333
256,16384,4,log2,0.766666667,0.233333333
256,16384,4,,0.74,0.26
256,16384,8,sqrt,0.78,0.22
256,16384,8,log2,0.78,0.22
256,16384,8,,0.76,0.24
256,16384,16,sqrt,0.773333333,0.226666667
256,16384,16,log2,0.786666667,0.213333333
256,16384,16,,0.76,0.24
256,16384,32,sqrt,0.773333333,0.226666667
256,16384,32,log2,0.786666667,0.213333333
256,16384,32,,0.76,0.24
256,16384,64,sqrt,0.773333333,0.226666667
256,16384,64,log2,0.786666667,0.213333333
256,16384,64,,0.76,0.24
256,16384,,sqrt,0.773333333,0.226666667
256,16384,,log2,0.786666667,0.213333333
256,16384,,,0.76,0.24
256,32768,2,sqrt,0.653333333,0.346666667
256,32768,2,log2,0.653333333,0.346666667
256,32768,2,,0.58,0.42
256,32768,4,sqrt,0.753333333,0.246666667
256,32768,4,log2,0.753333333,0.246666667
256,32768,4,,0.746666667,0.253333333
256,32768,8,sqrt,0.773333333,0.226666667
256,32768,8,log2,0.78,0.22
256,32768,8,,0.766666667,0.233333333
